index,Total population,Total population Male,Total population Female,Total population Median age (years),Total population 18 and over,Total population 18 and over Male,Total population 18 and over Female
Spanaway,29214,14306,14908,33.7,20091,9592,10499
Spangle,186,85,101,53.3,150,68,82
Spokane,210695,102451,108244,35.6,158152,76496,81656
Spokane Valley,92286,46892,45394,38.2,68808,34059,34749
Sprague,589,269,320,48.1,436,191,245
Springdale,304,173,131,28.8,182,91,91
St. John,597,228,369,50.9,470,174,296
Stansberry Lake,2312,1287,1025,37.4,1666,983,683
Stanwood,6560,2938,3622,33.6,4356,1960,2396
Starbuck,90,42,48,60.5,90,42,48
Startup,696,389,307,42.5,567,304,263
Steilacoom,6118,3036,3082,41.2,4642,2323,2319
Steptoe,184,97,87,55.1,155,76,79
Stevenson,1402,661,741,45.6,1112,508,604
Sudden Valley,6815,3596,3219,39.2,5147,2853,2294
Sultan,4744,2545,2199,34.9,3450,1779,1671
Sumas,1563,812,751,28.9,857,400,457
Summit,7467,3745,3722,46.8,5896,2970,2926
Summit View,7014,3514,3500,30.0,5247,2541,2706
Summitview,1501,711,790,28.1,851,342,509
Sumner,9584,4462,5122,34.7,6768,3343,3425
Sunday Lake,838,416,422,34.6,595,294,301
Sunnyside,16204,8302,7902,25.2,6241,2981,3260
Sunnyslope,3452,1798,1654,46.4,2649,1366,1283
Suquamish,4220,2064,2156,45.2,3304,1610,1694
Swede Heaven,829,379,450,44.8,631,298,333
Tacoma,203481,100662,102819,36.0,147008,71498,75510
Taholah,844,496,348,29.2,589,323,266
Tampico,427,211,216,48.1,323,162,161
Tanglewilde,6110,3344,2766,35.9,4525,2346,2179
Tanner,1048,626,422,43.2,724,406,318
Tekoa,824,441,383,46.7,616,330,286
Tenino,1915,805,1110,35.3,1384,565,819
Terrace Heights,6952,3409,3543,43.5,5302,2514,2788
Thorp,351,177,174,36.6,296,146,150
